,age,job,marital,education,default,housing,loan,month,day_of_week,duration,campaign,pdays,previous,poutcome,cons.price.idx,euribor3m
0,56,10,3,3,0,0,0,5,1,261,1,999,0,2,93.994,4.857
1,57,6,3,6,2,0,0,5,1,149,1,999,0,2,93.994,4.857
2,37,6,3,6,0,1,0,5,1,226,1,999,0,2,93.994,4.857
3,40,13,3,4,0,0,0,5,1,151,1,999,0,2,93.994,4.857
4,56,6,3,6,0,0,1,5,1,307,1,999,0,2,93.994,4.857
5,45,6,3,5,2,0,0,5,1,198,1,999,0,2,93.994,4.857
6,59,13,3,8,0,0,0,5,1,139,1,999,0,2,93.994,4.857
7,41,12,3,0,2,0,0,5,1,217,1,999,0,2,93.994,4.857
8,24,4,1,8,0,1,0,5,1,380,1,999,0,2,93.994,4.857
9,25,6,1,6,0,1,0,5,1,50,1,999,0,2,93.994,4.857
10,41,12,3,0,2,0,0,5,1,55,1,999,0,2,93.994,4.857
11,25,6,1,6,0,1,0,5,1,222,1,999,0,2,93.994,4.857
12,29,12,1,6,0,0,1,5,1,137,1,999,0,2,93.994,4.857
13,57,10,2,3,0,1,0,5,1,293,1,999,0,2,93.994,4.857
14,35,12,3,4,0,1,0,5,1,146,1,999,0,2,93.994,4.857
15,54,8,3,5,2,1,1,5,1,174,1,999,0,2,93.994,4.857
16,35,12,3,4,0,1,0,5,1,312,1,999,0,2,93.994,4.857
17,46,12,3,4,2,1,1,5,1,440,1,999,0,2,93.994,4.857
18,50,12,3,5,0,1,1,5,1,353,1,999,0,2,93.994,4.857
19,39,9,1,5,2,0,0,5,1,195,1,999,0,2,93.994,4.857
20,30,2,3,6,0,0,0,5,1,38,1,999,0,2,93.994,4.857
21,55,12,3,3,2,1,0,5,1,262,1,999,0,2,93.994,4.857
22,55,8,1,6,0,1,0,5,1,342,1,999,0,2,93.994,4.857
23,41,4,1,6,0,1,0,5,1,181,1,999,0,2,93.994,4.857
24,37,13,3,6,0,1,0,5,1,172,1,999,0,2,93.994,4.857
25,35,4,3,9,0,0,1,5,1,99,1,999,0,2,93.994,4.857
26,59,4,3,0,0,1,0,5,1,93,1,999,0,2,93.994,4.857
27,39,7,3,5,2,0,0,5,1,233,1,999,0,2,93.994,4.857
28,54,4,1,9,2,0,0,5,1,255,2,999,0,2,93.994,4.857
29,55,3,3,9,2,2,2,5,1,362,1,999,0,2,93.994,4.857
30,46,13,3,0,0,0,0,5,1,348,1,999,0,2,93.994,4.857
31,59,4,3,0,0,1,0,5,1,386,1,999,0,2,93.994,4.857
32,49,12,3,0,0,0,0,5,1,73,1,999,0,2,93.994,4.857
33,54,9,3,3,2,1,0,5,1,230,1,999,0,2,93.994,4.857
34,54,12,2,3,0,0,0,5,1,208,1,999,0,2,93.994,4.857
35,55,3,3,3,2,1,0,5,1,336,1,999,0,2,93.994,4.857
36,34,6,3,6,0,0,0,5,1,365,1,999,0,2,93.994,4.857
37,52,4,3,5,0,1,0,5,1,1666,1,999,0,2,93.994,4.857
